,id,favorite_count,retweet_count
112,870308999962521604,20065,3665
113,870063196459192321,33383,7335
114,869772420881756160,39076,8998
115,869702957897576449,25813,5568
116,869596645499047938,14644,2747
117,869227993411051520,18702,3333
118,868880397819494401,59819,12755
119,868639477480148993,0,1818
120,868622495443632128,24370,4676
121,868552278524837888,9259,1818
122,867900495410671616,22229,3717
123,867774946302451713,31182,6505
124,867421006826221569,14759,2209
125,867072653475098625,0,106
126,867051520902168576,29570,7028
127,866720684873056260,18368,4280
128,866686824827068416,17675,3077
129,866450705531457537,112283,31459
130,866334964761202691,48077,12699
131,866094527597207552,0,7459
132,865718153858494464,23665,5031
133,865359393868664832,24350,4470
134,865006731092295680,25818,6917
135,864873206498414592,29686,7771
136,864279568663928832,13475,2694
137,864197398364647424,27568,7891
138,863907417377173506,19041,3717
139,863553081350529029,14075,3770
140,863471782782697472,0,2162
141,863432100342583297,21959,4719
142,863427515083354112,2022,84
143,863079547188785154,8123,994
144,863062471531167744,7772,2162
145,862831371563274240,17729,4618
146,862722525377298433,15827,3204
147,862457590147678208,18860,4418
148,862096992088072192,68460,20816
149,861383897657036800,33343,9657
150,861288531465048066,15867,3724
151,861005113778896900,15470,3454
152,860981674716409858,0,1927
153,860924035999428608,0,706
154,860563773140209665,6942,1927
155,860524505164394496,21934,4777
156,860276583193509888,17099,3180
157,860184849394610176,15446,5309
158,860177593139703809,0,27895
159,859924526012018688,18220,3709
160,859851578198683649,14373,3192
161,859607811541651456,17339,1404
162,859196978902773760,83280,27326
163,859074603037188101,31410,12405
164,858860390427611136,0,7372
165,858843525470990336,14543,3153
166,858471635011153920,20110,4429
167,858107933456039936,14677,2629
168,857989990357356544,14964,2351
169,857746408056729600,31852,9705
170,857393404942143489,5490,1494
171,857263160327368704,18780,4131
172,857214891891077121,210,16
173,857062103051644929,0,154
174,857029823797047296,17604,3638
175,856543823941562368,15316,2644
176,856526610513747968,11139,1723
177,856330835276025856,0,614
178,856288084350160898,486,15
179,856282028240666624,25993,5778
180,855862651834028034,313,22
181,855860136149123072,4586,891
182,855857698524602368,11157,1938
183,855851453814013952,43133,16673
184,855818117272018944,25027,4999
185,855459453768019968,27959,7566
186,855245323840757760,0,5491
187,855138241867124737,0,39
188,854732716440526848,21381,5589
189,854482394044301312,27458,6285
190,854365224396361728,17758,4328
191,854120357044912130,30119,6893
192,854010172552949760,15315,2914
193,853760880890318849,26935,5332
194,853639147608842240,32650,9259
195,853299958564483072,14632,3292
196,852936405516943360,0,1852
197,852912242202992640,8512,1672
198,852672615818899456,14113,2010
199,852553447878664193,15400,3239
200,852311364735569921,31338,9235
201,852226086759018497,18903,6351
202,852189679701164033,10886,1475
203,851861385021730816,0,19
204,851591660324737024,15446,3248
205,851464819735769094,23022,6572
206,851224888060895234,19658,5373
207,850753642995093505,29151,8443
208,850380195714523136,12462,2429
209,850333567704068097,3287,307
210,850145622816686080,15507,3532
211,850019790995546112,19404,4553
212,849776966551130114,28865,7098
213,849668094696017920,0,4644
214,849412302885593088,15135,2948
215,849336543269576704,10876,1765
216,849051919805034497,40325,7935
217,848690551926992896,24041,4062
218,848324959059550208,23592,4339
219,848213670039564288,7794,674
220,848212111729840128,15560,2828
221,847978865427394560,0,3050
222,847971574464610304,0,413
223,847962785489326080,22450,4770
224,847842811428974592,5177,1238
225,847617282490613760,6677,388
226,847606175596138505,17932,3218
227,847251039262605312,19586,4078
228,847157206088847362,18951,5484
229,847116187444137987,20513,2995
230,846874817362120707,19215,3691
231,846514051647705089,42567,10848
232,846505985330044928,13508,2888
233,846153765933735936,30134,8513
234,846139713627017216,29708,9519
235,846042936437604353,15304,2693
236,845812042753855489,27965,8186
237,845677943972139009,24156,4543
238,845397057150107648,7316,1678
239,845306882940190720,22352,5060
240,845098359547420673,0,7205
241,844979544864018432,13088,2403
242,844973813909606400,14404,2981
243,844580511645339650,15781,2931
244,844223788422217728,13112,2066
245,843981021012017153,14585,2800
246,843856843873095681,20619,4349
247,843604394117681152,16214,2579
248,843235543001513987,20629,5657
249,842846295480000512,14690,3443
250,842765311967449089,6474,1203
251,842535590457499648,17431,3318
252,842163532590374912,23474,5491
253,842115215311396866,13449,2867
254,841833993020538882,0,14184
255,841680585030541313,24815,7428
